rbi,hr,obp,avg,age,avg pred,avg real,error,avg avg,abs error,
22,5,0.338,0.241,1991,0.233923402,0.197,0.036923402,0.003163185,0.033760217,0.035292571
33,11,0.323,0.256,1989,0.241131521,0.217,0.024131521,,0.024131521,
56,14,0.361,0.287,1988,0.252815232,0.284,-0.031184768,,0.031184768,
82,27,0.308,0.269,1985,0.268064591,0.265,0.003064591,,0.003064591,
54,13,0.307,0.242,1994,0.246812729,0.238,0.008812729,,0.008812729,
83,18,0.334,0.287,1979,0.269391029,0.3,-0.030608971,,0.030608971,
90,28,0.35,0.275,1982,0.274337046,0.285,-0.010662954,,0.010662954,
95,40,0.307,0.244,1980,0.280491914,0.268,0.012491914,,0.012491914,
47,3,0.293,0.257,1986,0.24476628,0.261,-0.01623372,,0.01623372,
48,13,0.377,0.271,1984,0.251979687,0.22,0.031979687,,0.031979687,
44,4,0.321,0.265,1989,0.242925391,0.281,-0.038074609,,0.038074609,
15,2,0.307,0.255,1985,0.232800769,0.236,-0.003199231,,0.003199231,
25,5,0.344,0.264,1990,0.235832452,0.27,-0.034167548,,0.034167548,
101,31,0.387,0.278,1989,0.276637793,0.292,-0.015362207,,0.015362207,
1,0,0.361,0.207,1989,0.225700975,0.156,0.069700975,,0.069700975,
11,3,0.215,0.168,1992,0.225313687,0.125,0.100313687,,0.100313687,
0,0,0,0,1988,0.216946567,0.242,-0.025053433,,0.025053433,
59,13,0.309,0.257,1991,0.250578498,0.245,0.005578498,,0.005578498,
28,4,0.274,0.226,1990,0.234883293,0.26,-0.025116707,,0.025116707,
68,18,0.356,0.28,1988,0.258849647,0.275,-0.016150353,,0.016150353,
84,21,0.321,0.256,1987,0.265897681,0.275,-0.009102319,,0.009102319,
66,16,0.343,0.259,1983,0.259876892,0.261,-0.001123108,,0.001123108,
94,26,0.32,0.232,1984,0.273264763,0.242,0.031264763,,0.031264763,
45,2,0.349,0.28,1988,0.243894192,0.255,-0.011105808,,0.011105808,
99,42,0.46,0.33,1992,0.279877772,0.243,0.036877772,,0.036877772,
95,19,0.379,0.318,1987,0.271043804,0.288,-0.016956196,,0.016956196,
6,2,0.25,0.209,1993,0.22337824,0.225,-0.00162176,,0.00162176,
51,16,0.3,0.262,1990,0.248847253,0.278,-0.029152747,,0.029152747,
49,11,0.299,0.234,1986,0.248528748,0.174,0.074528748,,0.074528748,
68,22,0.345,0.279,1994,0.256534698,0.274,-0.017465302,,0.017465302,
97,40,0.325,0.271,1985,0.278923518,0.298,-0.019076482,,0.019076482,
0,0,0.172,0.143,1991,0.219565205,0.237,-0.017434795,,0.017434795,
85,19,0.357,0.231,1986,0.267043425,0.259,0.008043425,,0.008043425,
35,1,0.339,0.272,1990,0.238210101,0.294,-0.055789899,,0.055789899,
58,17,0.347,0.287,1986,0.255472563,0.324,-0.068527437,,0.068527437,
3,0,0.122,0.104,1987,0.221692452,0.089,0.132692452,,0.132692452,
