rbi,hr,obp,avg,age,obp pred,"obp	real",error
22,5,0.338,0.241,1991,0.303384185,0.3,-0.003384185
33,11,0.323,0.256,1989,0.314407899,0.281,-0.033407899
56,14,0.361,0.287,1988,0.333600169,0.362,0.028399831
82,27,0.308,0.269,1985,0.355651871,0.31,-0.045651871
54,13,0.307,0.242,1994,0.327893698,0.321,-0.006893698
83,18,0.334,0.287,1979,0.356314984,0.358,0.001685016
90,28,0.35,0.275,1982,0.363092382,0.349,-0.014092382
95,40,0.307,0.244,1980,0.369572605,0.323,-0.046572605
47,3,0.293,0.257,1986,0.322476895,0.292,-0.030476895
48,13,0.377,0.271,1984,0.329650757,0.312,-0.017650757
44,4,0.321,0.265,1989,0.319975878,0.324,0.004024122
15,2,0.307,0.255,1985,0.299049085,0.304,0.004950915
25,5,0.344,0.264,1990,0.306273607,0.348,0.041726393
101,31,0.387,0.278,1989,0.368863167,0.385,0.016136833
1,0,0.361,0.207,1989,0.287059923,0.27,-0.017059923
11,3,0.215,0.168,1992,0.290831793,0.154,-0.136831793
0,0,0,0,1988,0.277999733,0.269,-0.008999733
59,13,0.309,0.257,1991,0.332849366,0.307,-0.025849366
28,4,0.274,0.226,1990,0.306464201,0.321,0.014535799
68,18,0.356,0.28,1988,0.343226421,0.394,0.050773579
84,21,0.321,0.256,1987,0.354501822,0.342,-0.012501822
66,16,0.343,0.259,1983,0.34296454,0.351,0.00803546
94,26,0.32,0.232,1984,0.363529181,0.335,-0.028529181
45,2,0.349,0.28,1988,0.321110319,0.322,0.000889681
99,42,0.46,0.33,1992,0.371241649,0.373,0.001758351
95,19,0.379,0.318,1987,0.362140509,0.362,-0.000140509
6,2,0.25,0.209,1993,0.287057014,0.284,-0.003057014
51,16,0.3,0.262,1990,0.328408045,0.325,-0.003408045
49,11,0.299,0.234,1986,0.326928674,0.216,-0.110928674
68,22,0.345,0.279,1994,0.341783557,0.361,0.019216443
97,40,0.325,0.271,1985,0.369311904,0.35,-0.019311904
0,0,0.172,0.143,1991,0.280801631,0.246,-0.034801631
85,19,0.357,0.231,1986,0.355674511,0.366,0.010325489
35,1,0.339,0.272,1990,0.312201031,0.371,0.058798969
58,17,0.347,0.287,1986,0.336595337,0.381,0.044404663
3,0,0.122,0.104,1987,0.2837268,0.128,-0.1557268
62,11,0.324,0.259,1984,0.337622502,0.331,-0.006622502
8,1,0.28,0.217,1992,0.289408612,0.318,0.028591388
117,47,0.361,0.262,1986,0.382960775,0.332,-0.050960775
10,2,0.214,0.146,1987,0.292014492,0.352,0.059985508
34,10,0.293,0.188,1983,0.316775029,0.303,-0.013775029
43,4,0.264,0.227,1991,0.316952288,0.315,-0.001952288
42,14,0.32,0.252,1983,0.324761919,0.352,0.027238081
44,7,0.366,0.3,1991,0.321244111,0.376,0.054755889
61,25,0.314,0.238,1986,0.340637743,0.286,-0.054637743
31,10,0.333,0.304,1989,0.3128198,0.293,-0.0198198
17,4,0.425,0.337,1994,0.299953538,0.365,0.065046462
21,4,0.333,0.271,1991,0.302159415,0.302,-0.000159415
3,0,0.196,0.12,1983,0.287390219,0.237,-0.050390219
22,5,0.283,0.205,1986,0.304370387,0.349,0.044629613
78,17,0.371,0.312,1987,0.350397967,0.295,-0.055397967
46,4,0.359,0.333,1988,0.322830905,0.305,-0.017830905
37,2,0.344,0.261,1992,0.313254575,0.275,-0.038254575
24,10,0.346,0.256,1989,0.307848109,0.374,0.066151891
3,1,0.268,0.226,1990,0.286263411,0.214,-0.072263411
35,8,0.361,0.304,1991,0.314828284,0.332,0.017171716
46,17,0.346,0.25,1986,0.327996993,0.393,0.065003007
56,9,0.318,0.265,1990,0.329956336,0.304,-0.025956336
5,0,0.307,0.235,1992,0.28741722,0.308,0.02058278
61,6,0.358,0.301,1988,0.334276878,0.416,0.081723122
42,12,0.356,0.291,1983,0.324919224,0.376,0.051080776
50,13,0.289,0.267,1991,0.325925452,0.295,-0.030925452
111,39,0.372,0.277,1983,0.378751732,0.357,-0.021751732
11,0,0.303,0.186,1989,0.293268634,0.299,0.005731366
0,0,0,0,1990,0.277066895,0,-0.277066895
62,7,0.309,0.258,1988,0.334165253,0.362,0.027834747
45,6,0.338,0.303,1990,0.32140728,0.351,0.02959272
22,7,0.346,0.307,1991,0.304343816,0.283,-0.021343816
93,18,0.363,0.297,1989,0.3594555,0.328,-0.0314555
48,13,0.315,0.28,1991,0.325092929,0.317,-0.008092929
88,27,0.285,0.246,1986,0.358584145,0.319,-0.039584145
73,21,0.328,0.27,1985,0.34822331,0.318,-0.03022331
43,7,0.37,0.295,1986,0.322851078,0.377,0.054148922
51,12,0.353,0.313,1993,0.326935071,0.358,0.031064929
66,18,0.37,0.276,1989,0.341745641,0.4,0.058254359
50,7,0.302,0.263,1989,0.324982656,0.274,-0.050982656
0,0,0,0,1992,0.276133809,0.376,0.099866191
41,16,0.367,0.276,1989,0.323163808,0.359,0.035836192
2,0,0.177,0.15,1990,0.282911351,0.22,-0.062911351
67,27,0.346,0.265,1989,0.344896228,0.326,-0.018896228
0,0,0,0,1987,0.278466023,0.298,0.019533977
4,2,0.337,0.24,1989,0.289521399,0.393,0.103478601
26,5,0.368,0.291,1983,0.310852487,0.309,-0.001852487
52,9,0.32,0.256,1991,0.326678944,0.323,-0.003678944
53,19,0.291,0.249,1983,0.333742783,0.361,0.027257217
40,9,0.327,0.275,1983,0.321689654,0.357,0.035310346
62,19,0.29,0.233,1985,0.339163056,0.335,-0.004163056
21,1,0.282,0.229,1973,0.308119829,0.354,0.045880171
47,10,0.29,0.259,1991,0.322692466,0.343,0.020307534
43,10,0.335,0.249,1990,0.321273375,0.349,0.027726625
4,0,0.226,0.186,1988,0.286566224,0.2,-0.086566224
2,2,0.163,0.152,1986,0.285184198,0.304,0.018815802
34,6,0.331,0.263,1990,0.313078768,0.332,0.018921232
36,9,0.281,0.236,1991,0.313987458,0.257,-0.056987458
41,7,0.297,0.264,1990,0.31782627,0.272,-0.04582627
18,2,0.311,0.25,1984,0.301878475,0.34,0.038121525
31,11,0.283,0.211,1987,0.312854849,0.307,-0.005854849
60,13,0.359,0.293,1989,0.335604872,0.306,-0.029604872
52,9,0.372,0.303,1987,0.32969237,0.343,0.01330763
4,1,0.325,0.289,1992,0.287483485,0.314,0.026516515
50,6,0.281,0.257,1990,0.323677449,0.368,0.044322551
30,9,0.312,0.222,1984,0.313459388,0.314,0.000540612
57,16,0.297,0.247,1988,0.333497505,0.306,-0.027497505
12,2,0.214,0.161,1983,0.295410316,0.267,-0.028410316
0,0,0.5,0.5,1985,0.291664226,0.164,-0.127664226
11,4,0.284,0.213,1991,0.293354422,0.31,0.016645578
2,0,0.35,0.316,1990,0.287151479,0,-0.287151479
7,1,0.195,0.157,1988,0.288448581,0.552,0.263551419
1,1,0.5,0.5,1990,0.290428527,0.281,-0.009428527
54,26,0.346,0.21,1992,0.334170919,0.352,0.017829081
66,10,0.338,0.265,1983,0.340793239,0.363,0.022206761
37,8,0.378,0.312,1990,0.317181226,0.315,-0.002181226
14,6,0.301,0.204,1993,0.295829693,0.2,-0.095829693
80,29,0.459,0.314,1983,0.359067555,0.434,0.074932445
1,0,0.091,0.063,1989,0.280507488,0.5,0.219492512
0,0,0.108,0.065,1984,0.282498582,0.185,-0.097498582
34,3,0.293,0.244,1986,0.312894145,0.328,0.015105855
1,0,0.417,0.3,1993,0.286559853,0.332,0.045440147
47,10,0.324,0.262,1992,0.32305016,0.333,0.00994984
101,30,0.347,0.29,1987,0.368478368,0.353,-0.015478368
66,15,0.353,0.313,1990,0.33993307,0.396,0.05606693
23,2,0.347,0.3,1990,0.303759979,0.306,0.002240021
20,3,0.279,0.199,1984,0.302955544,0.319,0.016044456
1,0,0.25,0.182,1994,0.282038948,0.352,0.069961052
5,1,0.247,0.23,1989,0.287753161,0.175,-0.112753161
27,6,0.291,0.219,1992,0.305919042,0.363,0.057080958
28,4,0.327,0.287,1987,0.309159723,0.311,0.001840277
34,9,0.3,0.249,1988,0.314335049,0.314,-0.000335049
0,0,0.13,0.048,1989,0.280677339,0.312,0.031322661
41,6,0.289,0.259,1989,0.317723548,0.301,-0.016723548
2,0,0.13,0.096,1991,0.281283053,0.22,-0.061283053
59,18,0.299,0.226,1986,0.336501406,0.314,-0.022501406
60,16,0.37,0.294,1984,0.339038571,0.339,-3.85713E-05
4,1,0.255,0.174,1992,0.285740455,0.184,-0.101740455
20,2,0.358,0.303,1990,0.301755795,0.37,0.068244205
106,22,0.362,0.29,1983,0.370793815,0.327,-0.043793815
0,0,0,0,1990,0.277066895,0.354,0.076933105
17,2,0.351,0.283,1993,0.297894158,0.287,-0.010894158
40,10,0.298,0.263,1990,0.318193182,0.331,0.012806818
56,12,0.314,0.278,1989,0.331364751,0.303,-0.028364751
21,3,0.28,0.219,1991,0.300488744,0.298,-0.002488744
66,27,0.323,0.247,1987,0.344530449,0.307,-0.037530449
83,26,0.308,0.256,1987,0.355179569,0.348,-0.007179569
61,11,0.321,0.262,1990,0.334283509,0.327,-0.007283509
99,26,0.369,0.275,1992,0.364657275,0.385,0.020342725
50,5,0.296,0.24,1983,0.326756366,0.301,-0.025756366
43,16,0.355,0.246,1993,0.322519525,0.2,-0.122519525
74,26,0.328,0.266,1987,0.349717374,0.359,0.009282626
1,0,0.267,0.214,1991,0.283875965,0.26,-0.023875965
54,17,0.302,0.225,1987,0.332255429,0.319,-0.013255429
44,7,0.294,0.246,1988,0.320854214,0.328,0.007145786
72,16,0.361,0.307,1986,0.34623225,0.339,-0.00723225
56,25,0.31,0.224,1985,0.337483459,0.357,0.019516541
2,0,0.171,0.171,1991,0.282310452,0.252,-0.030310452
1,0,0.235,0.219,1990,0.283583251,0.315,0.031416749
50,14,0.343,0.28,1992,0.32710889,0.306,-0.02110889
44,10,0.308,0.259,1990,0.321373069,0.321,-0.000373069
45,15,0.31,0.257,1990,0.323933907,0.3,-0.023933907
70,16,0.315,0.254,1989,0.34255272,0.14,-0.20255272
48,13,0.315,0.23,1983,0.328616445,0.356,0.027383555
63,9,0.338,0.288,1983,0.338384646,0.359,0.020615354
34,12,0.317,0.279,1989,0.315383575,0.293,-0.022383575
84,28,0.365,0.272,1985,0.358490747,0.38,0.021509253
35,4,0.394,0.279,1980,0.319151934,0.322,0.002848066
21,5,0.272,0.174,1984,0.304261221,0.403,0.098738779
25,8,0.319,0.267,1986,0.308626366,0.302,-0.006626366
0,0,0.143,0.143,1993,0.279169537,0.309,0.029830463
0,0,0.239,0.217,1984,0.285735864,0.208,-0.077735864
63,14,0.282,0.229,1991,0.335380627,0.278,-0.057380627
84,15,0.379,0.31,1987,0.353856592,0.279,-0.074856592
26,9,0.335,0.27,1993,0.306874612,0.31,0.003125388
76,18,0.44,0.338,1983,0.352558229,0.393,0.040441771
17,1,0.329,0.282,1989,0.298874041,0.288,-0.010874041
52,18,0.385,0.269,1993,0.330476509,0.319,-0.011476509
90,41,0.402,0.299,1991,0.364683502,0.441,0.076316498
28,11,0.23,0.174,1991,0.307466801,0.318,0.010533199
19,9,0.351,0.295,1989,0.303849779,0.231,-0.072849779
85,23,0.33,0.278,1985,0.356785657,0.298,-0.058785657
77,18,0.341,0.291,1992,0.347338391,0.363,0.015661609
93,44,0.369,0.302,1980,0.370840482,0.36,-0.010840482
73,15,0.303,0.255,1992,0.342737023,0.331,-0.011737023
34,9,0.275,0.226,1990,0.312806481,0.265,-0.047806481
43,10,0.339,0.301,1983,0.324536848,0.32,-0.004536848
53,3,0.37,0.296,1983,0.329971662,0.346,0.016028338
130,42,0.323,0.287,1991,0.38619138,0.362,-0.02419138
41,8,0.344,0.297,1991,0.31887075,0.361,0.04212925
3,0,0.214,0.12,1989,0.285010234,0.32,0.034989766
110,33,0.435,0.321,1987,0.3763959,0.411,0.0346041
27,7,0.269,0.249,1985,0.309013239,0.329,0.019986761
13,4,0.29,0.2,1987,0.29688993,0.292,-0.00488993
47,17,0.329,0.276,1991,0.326105268,0.289,-0.037105268
5,1,0.222,0.143,1989,0.287101376,0.386,0.098898624
0,0,0.097,0.097,1991,0.278978778,0.204,-0.074978778
21,7,0.348,0.228,1988,0.304990055,0.285,-0.019990055
79,21,0.334,0.287,1982,0.35353611,0.35,-0.00353611
34,10,0.325,0.232,1984,0.317108896,0.314,-0.003108896
1,0,0.429,0.333,1992,0.287336974,0.305,0.017663026
61,16,0.316,0.261,1994,0.334168075,0.296,-0.038168075
77,23,0.329,0.24,1983,0.352349109,0.335,-0.017349109
84,25,0.356,0.285,1983,0.358134178,0.365,0.006865822
45,5,0.318,0.25,1988,0.321439094,0.228,-0.093439094
7,4,0.221,0.193,1990,0.289255871,0.331,0.041744129
73,16,0.308,0.249,1984,0.34649674,0.272,-0.07449674
70,21,0.28,0.26,1990,0.3430293,0.288,-0.0550293
3,0,0.238,0.184,1989,0.285623859,0.369,0.083376141
29,6,0.294,0.264,1990,0.308449756,0.317,0.008550244
4,3,0.325,0.25,1990,0.289134221,0.33,0.040865779
82,22,0.375,0.276,1982,0.356695209,0.357,0.000304791
69,11,0.296,0.265,1990,0.33929971,0.3,-0.03929971
81,19,0.337,0.287,1988,0.35186363,0.362,0.01013637
39,7,0.359,0.305,1991,0.317392279,0.343,0.025607721
0,0,0.175,0.132,1988,0.282274269,0.24,-0.042274269
40,16,0.318,0.225,1989,0.321247872,0.303,-0.018247872
0,0,0.185,0.185,1986,0.283482924,0.188,-0.095482924
11,1,0.324,0.269,1989,0.294188848,0.357,0.062811152
41,12,0.34,0.268,1989,0.321100505,0.307,-0.014100505
12,2,0.245,0.211,1991,0.292442971,0.332,0.039557029
36,13,0.327,0.27,1990,0.317003277,0.306,-0.011003277
1,1,0.295,0.225,1993,0.283974119,0.37,0.086025881
18,3,0.324,0.252,1991,0.299292019,0.323,0.023707981
39,9,0.295,0.239,1986,0.318822702,0.357,0.038177298
64,11,0.301,0.245,1978,0.340983003,0.351,0.010016997
29,8,0.336,0.253,1990,0.310177223,0.336,0.025822777
0,0,0.182,0.182,1992,0.280594481,0.364,0.083405519
59,16,0.295,0.263,1991,0.333571854,0.319,-0.014571854
81,7,0.355,0.32,1992,0.346668049,0.356,0.009331951
61,4,0.31,0.27,1982,0.334992362,0.36,0.025007638
45,12,0.267,0.231,1987,0.323179074,0.201,-0.122179074
63,14,0.32,0.27,1987,0.337997863,0.341,0.003002137
38,11,0.322,0.255,1990,0.317640046,0.323,0.005359954
47,16,0.353,0.234,1988,0.327632532,0.339,0.011367468
31,5,0.268,0.224,1992,0.308013572,0.236,-0.072013572
28,9,0.31,0.258,1985,0.311480235,0.308,-0.003480235
3,2,0.232,0.224,1983,0.289052585,0.246,-0.043052585
49,14,0.33,0.266,1987,0.328296547,0.316,-0.012296547
65,19,0.34,0.272,1991,0.339856404,0.295,-0.044856404
52,15,0.372,0.266,1989,0.330900772,0.366,0.035099228
13,2,0.393,0.297,1988,0.298215559,0.394,0.095784441
73,26,0.322,0.285,1985,0.349746082,0.313,-0.036746082
43,12,0.304,0.239,1994,0.319435231,0.317,-0.002435231
71,17,0.383,0.312,1979,0.349251429,0.328,-0.021251429
30,3,0.287,0.242,1982,0.311594571,0.299,-0.012594571
101,23,0.286,0.241,1980,0.367593435,0.289,-0.078593435
54,6,0.272,0.25,1986,0.328112522,0.279,-0.049112522
45,9,0.293,0.208,1984,0.324045744,0.324,-4.57439E-05
69,14,0.331,0.278,1989,0.341563846,0.337,-0.004563846
25,4,0.289,0.233,1985,0.30688574,0.26,-0.04688574
100,25,0.403,0.301,1990,0.366438658,0.374,0.007561342
109,32,0.392,0.273,1989,0.373956997,0.376,0.002043003
38,8,0.408,0.289,1989,0.319074367,0.329,0.009925633
55,18,0.262,0.214,1992,0.330182239,0.282,-0.048182239
21,2,0.272,0.218,1988,0.301326849,0.295,-0.006326849
80,18,0.38,0.33,1991,0.350642035,0.281,-0.069642035
38,4,0.299,0.247,1990,0.314554504,0.299,-0.015554504
51,18,0.355,0.241,1988,0.331263175,0.342,0.010736825
77,14,0.305,0.253,1987,0.347216143,0.325,-0.022216143
63,21,0.35,0.264,1983,0.342767896,0.322,-0.020767896
62,18,0.323,0.241,1984,0.340007217,0.301,-0.039007217
7,0,0.305,0.2,1988,0.290752774,0.362,0.071247226
87,29,0.413,0.319,1992,0.359019396,0.393,0.033980604
67,12,0.4,0.32,1987,0.3419437,0.359,0.0170563
51,16,0.314,0.253,1993,0.327395866,0.183,-0.144395866
56,16,0.305,0.248,1990,0.332100919,0.323,-0.009100919
28,8,0.287,0.256,1986,0.310103269,0.254,-0.056103269
84,24,0.391,0.315,1994,0.354237385,0.323,-0.031237385
57,14,0.339,0.262,1985,0.335084,0.329,-0.006084
11,0,0.203,0.177,1991,0.289916939,0.235,-0.054916939
79,23,0.363,0.259,1986,0.353218175,0.352,-0.001218175
