id,rbi,hr,obp,avg,hits,age
572041,49,14,.330,.266,113,1987
571437,65,19,.340,.272,101,1991
543305,52,15,.372,.266,80,1989
594809,13,2,.393,.297,27,1988
430945,73,26,.322,.285,170,1985
608365,43,12,.304,.239,84,1994
134181,71,17,.383,.312,106,1979
408236,30,3,.287,.242,56,1982
405395,101,23,.286,.241,143,1980
444876,54,6,.272,.250,150,1986
460086,45,9,.293,.208,99,1984
592743,69,14,.331,.278,164,1989
461865,25,4,.289,.233,74,1985
543685,100,25,.403,.301,153,1990
519203,109,32,.392,.273,156,1989
605131,38,8,.408,.289,63,1989
595978,55,18,.262,.214,83,1992
519222,21,2,.272,.218,50,1988
541645,80,18,.380,.330,171,1991
571740,38,4,.299,.247,144,1990
474832,51,18,.355,.241,92,1988
543063,77,14,.305,.253,131,1987
458731,63,21,.350,.264,157,1983
435263,62,18,.323,.241,84,1984
571788,7,0,.305,.200,28,1988
547180,87,29,.413,.319,134,1992
457763,67,12,.400,.320,158,1987
621439,51,16,.314,.253,117,1993
543068,56,16,.305,.248,84,1990
543376,28,8,.287,.256,65,1986
621043,84,24,.391,.315,133,1994
471865,57,14,.339,.262,123,1985
593372,11,0,.203,.177,11,1991
467793,79,23,.363,.259,148,1986
514917,34,9,.373,.294,150,1990
453568,104,37,.399,.331,213,1986
502624,3,0,.135,.135,7,1987
452104,61,12,.352,.273,140,1984
596144,18,2,.275,.231,33,1992
448801,61,26,.309,.215,98,1986
543302,27,10,.273,.181,41,1987
455104,43,17,.354,.254,69,1983
572008,51,12,.299,.268,97,1991
455759,25,7,.322,.235,57,1983
592885,81,18,.369,.282,170,1991
458675,23,9,.318,.281,34,1986
572816,62,27,.325,.282,166,1989
608369,77,22,.375,.295,159,1994
605486,46,13,.322,.264,117,1991
502226,11,2,.333,.257,26,1983
518614,51,10,.332,.233,80,1986
444482,57,14,.352,.293,154,1987
543829,33,2,.341,.308,201,1988
592261,22,6,.347,.269,101,1992
518618,53,13,.334,.249,101,1989
571918,27,4,.259,.211,36,1990
581527,24,5,.291,.259,48,1991
451594,64,18,.363,.264,111,1986
544369,87,25,.318,.287,153,1990
553988,11,1,.302,.259,43,1992
518934,64,8,.374,.310,189,1988
456030,62,7,.369,.293,119,1983
592696,78,27,.328,.290,157,1991
429665,107,38,.377,.258,143,1983
501303,24,2,.324,.265,43,1989
553869,19,1,.265,.223,42,1990
462101,88,20,.337,.297,191,1988
542255,57,11,.350,.304,201,1990
571771,37,11,.308,.215,64,1991
543333,94,25,.385,.318,192,1989
553993,82,26,.367,.260,139,1991
594828,55,12,.311,.263,79,1986
446334,86,20,.313,.261,160,1985
465041,31,5,.342,.249,66,1986
596019,89,33,.337,.273,178,1993
518692,71,28,.403,.307,135,1989
520471,61,12,.309,.255,155,1989
596142,90,33,.345,.278,131,1992
543807,85,34,.367,.283,155,1989
543037,3,1,.179,.164,9,1990
519317,132,59,.376,.281,168,1989
491676,22,0,.327,.255,79,1987
594824,20,2,.365,.253,61,1989
453923,13,3,.337,.246,55,1983
570256,35,11,.305,.251,95,1991
434670,62,23,.320,.242,120,1983
452254,67,13,.315,.260,128,1983
435622,40,7,.326,.274,93,1985
400085,20,3,.318,.255,50,1973
592663,65,17,.332,.278,148,1991
598265,63,17,.323,.245,118,1990
594798,4,1,.233,.211,15,1988
453562,5,1,.145,.131,8,1986
571875,105,30,.357,.248,133,1990
545350,35,16,.319,.243,56,1991
543510,49,13,.318,.253,89,1990
502481,30,5,.324,.251,87,1984
488771,47,10,.333,.242,86,1987
518792,59,11,.326,.259,112,1989
543401,35,12,.291,.232,78,1987
595879,75,23,.317,.273,128,1992
516416,45,11,.349,.300,157,1990
476704,69,14,.360,.277,157,1984
576397,67,20,.341,.272,116,1988
425772,11,2,.277,.215,40,1983
502188,2,1,.094,.094,6,1985
527043,14,4,.269,.173,22,1991
542583,52,16,.331,.265,74,1990
491696,29,7,.289,.256,45,1988
542908,18,6,.287,.207,35,1990
592626,35,11,.331,.212,58,1992
408045,71,7,.384,.305,160,1983
605412,53,10,.347,.288,147,1990
608336,80,41,.333,.209,94,1993
458015,100,36,.454,.320,179,1983
543308,22,6,.326,.266,46,1989
452657,6,1,.203,.148,8,1984
474568,58,14,.326,.255,128,1986
593871,74,13,.313,.256,125,1993
624585,6,2,.245,.144,14,1992
547989,102,33,.354,.304,189,1987
514888,81,24,.410,.346,204,1990
578428,54,6,.288,.255,118,1990
446653,11,4,.248,.170,24,1984
606299,37,5,.297,.259,126,1994
517369,40,10,.347,.288,90,1989
608070,83,29,.374,.318,186,1992
543281,47,16,.339,.272,132,1987
572033,10,3,.255,.201,30,1988
518542,4,2,.286,.231,12,1989
501571,15,3,.296,.250,63,1989
527054,6,0,.167,.140,8,1991
475253,90,38,.355,.270,151,1986
457759,71,21,.415,.322,147,1984
592230,11,3,.313,.225,23,1992
605509,11,1,.332,.258,50,1990
434778,85,28,.308,.250,139,1983
542979,49,20,.299,.220,91,1990
606466,18,5,.345,.260,58,1993
595281,39,15,.338,.276,105,1990
607680,42,16,.300,.256,150,1989
