2015,2016,2017,2018 predict,2018 actual,Error,Example error of 2016-17
0.315,0.244,0.266,0.25740046,0.257,0.00040046,0.022
0.241,0.197,0.272,0.252168791,0.181,0.071168791,0.075
0.256,0.217,0.266,0.253653205,0.248,0.005653205,0.049
0.287,0.284,0.297,0.259436089,0.301,-0.041563911,0.013
0.269,0.265,0.285,0.257350105,0.281,-0.023649895,0.02
0.242,0.238,0.239,0.25338085,0.25,0.00338085,0.001
0.287,0.3,0.312,0.260754471,0.273,-0.012245529,0.012
0.275,0.285,0.242,0.257298907,0.237,0.020298907,-0.043
0.244,0.268,0.241,0.255145707,0.245,0.010145707,-0.027
0.257,0.261,0.25,0.255562218,0.231,0.024562218,-0.011
0.271,0.22,0.208,0.252551231,0.245,0.007551231,-0.012
0.265,0.281,0.278,0.25783255,0.292,-0.03416745,-0.003
0.255,0.236,0.233,0.253591398,0.21,0.043591398,-0.003
0.264,0.27,0.301,0.257927714,0.308,-0.050072286,0.031
0.278,0.292,0.273,0.258765489,0.283,-0.024234511,-0.019
0.207,0.156,0.289,0.249127158,0.205,0.044127158,0.133
0.168,0.125,0.214,0.243417729,0.231,0.012417729,0.089
0,0.242,0.218,0.2431482,0.244,-0.0008518,-0.024
0.257,0.245,0.33,0.257226611,0.236,0.021226611,0.085
0.226,0.26,0.247,0.254198512,0.236,0.018198512,-0.013
0.28,0.275,0.241,0.25692448,0.253,0.00392448,-0.034
0.256,0.275,0.253,0.256372071,0.254,0.002372071,-0.022
0.259,0.261,0.264,0.256083962,0.236,0.020083962,0.003
0.232,0.242,0.241,0.253268133,0.212,0.041268133,-0.001
0.28,0.255,0.2,0.254544473,0.277,-0.022455527,-0.055
0.33,0.243,0.319,0.259578774,0.249,0.010578774,0.076
0.318,0.288,0.32,0.261545453,0.284,-0.022454547,0.032
0.209,0.225,0.253,0.251820038,0.156,0.095820038,0.028
0.262,0.278,0.248,0.256608435,0.253,0.003608435,-0.03
0.234,0.174,0.256,0.250124342,0.219,0.031124342,0.082
0.279,0.274,0.315,0.259157908,0.239,0.020157908,0.041
0.271,0.298,0.262,0.258470481,0.276,-0.017529519,-0.036
0.143,0.237,0.177,0.247374593,0.242,0.005374593,-0.06
0.231,0.259,0.259,0.254723149,0.229,0.025723149,0
0.272,0.294,0.294,0.259299215,0.253,0.006299215,0
0.287,0.324,0.331,0.262612379,0.291,-0.028387621,0.007
0.104,0.089,0.135,0.236191413,0.089,0.147191413,0.046
0.259,0.253,0.273,0.255938066,0.115,0.140938066,0.02
0.217,0.274,0.231,0.254090561,0.194,0.060090561,-0.043
0.262,0.221,0.215,0.252476265,0.168,0.084476265,-0.006
0.146,0.284,0.181,0.250197351,0.237,0.013197351,-0.103
0.188,0.21,0.254,0.250199206,0.224,0.026199206,0.044
0.227,0.277,0.268,0.25582315,0.206,0.04982315,-0.009
0.252,0.276,0.235,0.255698907,0.168,0.087698907,-0.041
0.3,0.298,0.282,0.260210738,0.326,-0.065789262,-0.016
0.238,0.206,0.281,0.252827443,0.133,0.119827443,0.075
0.304,0.245,0.282,0.257533949,0.3,-0.042466051,0.037
0.337,0.308,0.295,0.26254784,0.267,-0.00445216,-0.013
0.271,0.229,0.264,0.254825482,0.235,0.019825482,0.035
0.12,0.147,0.257,0.2440929,0.269,-0.0249071,0.11
0.205,0.264,0.233,0.253139272,0.238,0.015139272,-0.031
0.312,0.251,0.293,0.258507504,0.293,-0.034492496,0.042
0.333,0.268,0.308,0.260681574,0.268,-0.007318426,0.04
0.261,0.209,0.269,0.253510797,0.216,0.037510797,0.06
0.256,0.279,0.249,0.256460429,0.265,-0.008539571,-0.03
0.226,0.083,0.211,0.243333455,0.167,0.076333455,0.128
0.304,0.3,0.259,0.259751494,0.232,0.027751494,-0.041
0.25,0.276,0.264,0.25654041,0.18,0.07654041,-0.012
0.265,0.276,0.287,0.257847859,0.268,-0.010152141,0.011
0.235,0.1,0.259,0.246195262,0.206,0.040195262,0.159
0.301,0.348,0.31,0.263757744,0.276,-0.012242256,-0.038
0.291,0.318,0.293,0.261270913,0.091,0.170270913,-0.025
0.267,0.269,0.29,0.257644514,0.288,-0.030355486,0.021
0.277,0.263,0.258,0.25670104,0.246,0.01070104,-0.005
0.186,0.254,0.265,0.252869083,0.251,0.001869083,0.011
0,0,0.223,0.22981827,0.286,-0.05618173,0.223
0.258,0.302,0.297,0.259280486,0.256,0.003280486,-0.005
0.303,0.291,0.304,0.260638386,0.265,-0.004361614,0.013
0.307,0.19,0.215,0.252554985,0.256,-0.003445015,0.025
0.297,0.266,0.318,0.259514821,0.253,0.006514821,0.052
0.28,0.248,0.26,0.256073784,0.283,-0.026926216,0.012
0.246,0.251,0.263,0.255005845,0.226,0.029005845,0.012
0.27,0.273,0.261,0.257061473,0.244,0.013061473,-0.012
0.295,0.264,0.249,0.257167087,0.259,-0.001832913,-0.015
0.313,0.301,0.273,0.260585509,0.277,-0.016414491,-0.028
0.276,0.302,0.307,0.260284417,0.309,-0.048715583,0.005
0.263,0.241,0.255,0.25487593,0.248,0.00687593,0.014
0,0.299,0.278,0.24824245,0.186,0.06224245,-0.021
0.276,0.261,0.283,0.257343399,0.265,-0.007656601,0.022
